Grupa	Podgrupa	Šifra	Naziv Latinski	Naziv		Šifra	Naziv engleski
A00-B99	A00-A09	A04.7	ENTEROCOLITIS PER CLOSTRIDIUM DIFFICILE	ZAPALJENJE CRIJEVA, UZROČNIK CLOSTRIDIUM DIFFICILE	1	A04.7	Enterocolitis due to Clostridium difficile
A00-B99	A00-A09	A04.8	INFECTIO INTESTINALIS BACTERIALIS ALIA, SPECIFICATA	DRUGA OZNAČENA INFEKCIJA CRIJEVA UZROKOVANA BAKTERIJAMA	1	A04.8	Other specified bacterial intestinal infections
A00-B99	A00-A09	A04.9	INFECTIO INTESTINALIS BACTERILAIS, NON SPECIFICATA	INFEKCIJA CRIJEVA, UZROKOVANA BAKTERIJAMA, NEOZNAČENA	1	A04.9	Bacterial intestinal infection, unspecified
A00-B99	A00-A09	A05	INTOXICATIONES ALIMENTARIAE BACTERIALES ALIAE	OSTALA TROVANJA HRANOM UZROKOVANA BAKTERIJAMA, NEKLASIFIKOVANA NA DRUGOM MJESTU 	1	A05.-	Other bacterial foodborne intoxications, not elsewhere classified
A00-B99	A00-A09	A05.0	INTOXICATIO ALIMENTARIA STAPHYLOCOCCICA	TROVANJE HRANOM UZROKOVANO STAFILOKOKOM	1	A05.0	Foodborne staphylococcal intoxication
A00-B99	A00-A09	A05.1	BOTULISMUS	BOTULIZAM	1	A05.1	Botulism
A00-B99	A00-A09	A05.2	INTOXICATIO ALIMENTARIA PER CLOSTRIDIUM PERFRINGENETEM (CLOSTRIDIUM WELCHII)	TROVANJE HRANOM, UZROČNIK CLOSTRIDIUM PERFRINGENS (CLOSTRIDIUM WELCHII)	1	A05.2	Foodborne Clostridium perfringens [Clostridium welchii] intoxication
A00-B99	A00-A09	A05.3	INTOXICATIO ALIMENTARIA PER  VIBRIONEM PARAHAEMOLYTICAM	TROVANJE HRANOM, UZROČNIK VIBRIO PARAHAEMOLYTICA	1	A05.3	Foodborne Vibrio parahaemolyticus intoxication
A00-B99	A00-A09	A05.4	INTOXICATIO ALIMENTARIA PER BACILLUM CEREUM	TROVANJE HRANOM, UZROČNIK BACILLUS CEREUS	1	A05.4	Foodborne Bacillus cereus intoxication
A00-B99	A00-A09	A05.8	INTOXICATIONES ALIMENTARIAE BACTERIALES ALIAE, SPECIFICATAE	DRUGA OZNAČENA TROVANJA HRANOM UZROKOVANA BAKTERIJAMA	1	A05.8	Other specified bacterial foodborne intoxications
A00-B99	A00-A09	A05.9	INTOXICATIO ALIMENTARIA BACTERIALIS, NON SPECIFICATA	TROVANJE HRANOM UZROKOVANO BAKTERIJAMA, NEOZNAČENO	1	A05.9	Bacterial foodborne intoxication, unspecified
A00-B99	A00-A09	A06	AMOEBIASIS	AMEBIJAZA, UZROČNIK PATOGENA AMEBA	1	A06.-	Amoebiasis
A00-B99	A00-A09	A06.0	DYSENTERIA AMOEBICA ACUTA	AKUTNA DIZENTERIJA UZROKOVANA AMEBAMA	1	A06.0	Acute amoebic dysentery
A00-B99	A00-A09	A06.1	AMOEBIASIS INTESTINALIS CHRONICA	HRONIČNA AMEBIJAZA CRIJEVA	1	A06.1	Chronic intestinal amoebiasis
A00-B99	A00-A09	A06.2	COLITIS AMOEBICA NON DYSENTERICA	NEDIZENTERICKO ZAPALJENJE DEBELOG CRIJEVA UZROKOVANO AMEBAMA	1	A06.2	Amoebic nondysenteric colitis
A00-B99	A00-A09	A06.3	AMOEBOMA INTESTINALE	AMEBOM, TUMOR CRIJEVA UZROKOVAN AMEBAMA	1	A06.3	Amoeboma of intestine
A00-B99	A00-A09	A06.4	ABCESSUS HEPATIS AMOEBICUS	APSCES JETRE UZROKOVAN AMEBAMA	1	A06.4	Amoebic liver abscess
A00-B99	A00-A09	A06.5+	ABSCESSUS PULMONIS AMOEBICUS (J99.8*)	APSCES PLUĆA UZROKOVAN AMEBAMA	1	A06.5	Amoebic lung abscess
A00-B99	A00-A09	A06.6+	ABSCESSUS CEREBRI AMOEBICUS (G07*)	APSCES MOZGA UZROKOVAN AMEBAMA	1	A06.6	Amoebic brain abscess
A00-B99	A00-A09	A06.7	AMOEBIASIS CUTANEA	AMEBIJAZA KOŽE	1	A06.7	Cutaneous amoebiasis
A00-B99	A00-A09	A06.8	INFECTIO AMOEBICA LOCI ALTERIUS	INFEKCIJA DRUGE LOKALIZACIJE UZROKOVANA AMEBAMA	1	A06.8	Amoebic infection of other sites
A00-B99	A00-A09	A06.9	AMOEBIASIS, NON SPECIFICATA	AMEBIJAZA, NEOZNAČENA	1	A06.9	Amoebiasis, unspecified
A00-B99	A00-A09	A07	INFECTIONES INTESTINALES PROTOZOICAE ALIAE	DRUGE INFEKCIJE CRIJEVA UZROKOVANE PROTOZOAMA	1	A07.-	Other protozoal intestinal diseases
A00-B99	A00-A09	A07.0	BALANTIDIASIS	BALANTIDIJAZA, UZROČNIK BALANTIDIUM COLI	1	A07.0	Balantidiasis
A00-B99	A00-A09	A07.1	GIARDIASIS (LAMBLIASIS)	GJARDIJAZA, UZROČNIK LAMBLIA INTESTINALIS	1	A07.1	Giardiasis [lambliasis]
A00-B99	A00-A09	A07.2	CRYPTOSPORIDIASIS	KRIPTOSPORIDIJAZA, UZROČNIK CRYPTOSPORIDIUM	1	A07.2	Cryptosporidiosis
A00-B99	A00-A09	A07.3	ISOSPORIASIS	IZOSPORIJAZA, UZROČNIK ISOSPORA BELLI ET ISOSPORA HOMINIS	1	A07.3	Isosporiasis
A00-B99	A00-A09	A07.8	INFECTIONES INTESTINALES PROTOZOICAE ALIAE, SPECIFICATAE	DRUGE OZNAČENE INFEKCIJE CRIJEVA UZROKOVANE PROTOZOAMA	1	A07.8	Other specified protozoal intestinal diseases
A00-B99	A00-A09	A07.9	INFECTIO INTESTINALIS PROTOZOICA, NON SPECIFICATA	INFEKCIJE CRIJEVA UZROKOVANE PROTOZOAMA, NEOZNAČENA	1	A07.9	Protozoal intestinal disease, unspecified
A00-B99	A00-A09	A08	INEFCTIONES INTESTINALES VIRALES	VIRUSNE I DRUGE OZNAČENE INFEKCIJE CRIJEVA 	1	A08.-	Viral and other specified intestinal infections
A00-B99	A00-A09	A08.0	ENTERITIS ROTOVIRALIS	ZAPALJENJE TANKOG CRIJEVA UZROKOVANO ROTAVIRUSIMA	1	A08.0	Rotaviral enteritis
A00-B99	A00-A09	A08.1	GASTROENTERITIS ACUTA NORWALK	AKUTNO NORWALKOVO ZAPALJENJE ŽELUCA I TANKOG CRIJEVA	1	A08.1	Acute gastroenteropathy due to Norwalk agent
A00-B99	A00-A09	A08.2	ENTERITIS ADENOVIRALIS	ZAPALJENJE TANKOG CRIJEVA UZROKOVANO ADENOVIRUSIMA	1	A08.2	Adenoviral enteritis
A00-B99	A00-A09	A08.3	ENTERITIS VIRALIS ALIA	DRUGA ZAPALJENJA TANKOG CRIJEVA UZROKOVANA VIRUSIMA	1	A08.3	Other viral enteritis
A00-B99	A00-A09	A08.4	INFECTIO INTESTINALIS VIRALIS, NON SPECIFICATA	INFEKCIJA CRIJEVA UZROKOVANA VIRUSIMA, NEOZNAČENA	1	A08.4	Viral intestinal infection, unspecified
A00-B99	A00-A09	A08.5	INFECTIO INTESTINALIS ALIAE, SPECIFICATAE	DRUGE OZNAČENE INFEKCIJE CRIJEVA	1	A08.5	Other specified intestinal infections
A00-B99	A00-A09	A09	DIARRHOEA ET GASTOENTERITIS, CAUSA INFECTIONIS SUSPECTA	OSTALI I GASTROENTRITISI I KOLITISI INFEKTIVNOG I NEOZNAĆENOG PORIJEKLA	1	A09.-	Other gastroenteritis and colitis of infectious and unspecified origin
A00-B99	A00-A09	A09.0	GASTROENTERITIS ET COLITIS IN MORBIS INFECTIVIS ALIIS	DRUGI I NEOZNAĆENI GASTROENTERITISI I KOLITISI INFEKTIVNOG PORIJEKLA	1	A09.0	Other and unspecified gastroenteritis and colitis of infectious origin
A00-B99	A00-A09	A09.9	GASTROENTERITIS ET COLITIS NON SPECIFICATA	GASTROENTERITIS I KOLITIS NEOZNAČENOG PORIJEKLA	1	A09.9	Gastroenteritis and colitis of unspecified origin
A00-B99	A15-A19	A15	TUBERCULOSIS ORGANORUM RESPIRATORIORUM, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA	TUBERKULOZA ORGANA ZA DISANJE POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.-	Respiratory tuberculosis, bacteriologically and histologically confirmed
A00-B99	A15-A19	A15.0	TUBERCULOSIS PULMONIS, PER MICROSCOPIAM SPUTI CONFIRMATA	TUBERCULOZA PLUĆA, POTVRDJENA MIKROSKOPIJOM ISPLJUVKA	1	A15.0	Tuberculosis of lung, confirmed by sputum microscopy with or without culture
A00-B99	A15-A19	A15.1	TUBERCULOSIS PULMONIS, SOLUM CULTURE CONFIRMATA	TUBERCULOZA PLUĆA, POTVRDJENA SAMO KULTUROM	1	A15.1	Tuberculosis of lung, confirmed by culture only
A00-B99	A15-A19	A15.2	TUBERCULOSIS PULMONIS, PER HISTOLOGIAM CONFIRMATA	TUBERCULOZA PLUĆA, POTVRDJENA HISTOLOŠKI	1	A15.2	Tuberculosis of lung, confirmed histologically
A00-B99	A15-A19	A15.3	TUBERCULOSIS PULMONIS, METODIS NON SPECIFICATIS CONFIRMATA	TUBERCULOZA PLUĆA, POTVRDJENA NEOZNAČENIM METODAMA	1	A15.3	Tuberculosis of lung, confirmed by unspecified means
A00-B99	A15-A19	A15.4	TUBERCULOSIS LYMPHONODORUM INTATHORACALIUM, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA	TUBERCULOZA LIMFNIH ČVOROVA U GRUDNOM KOŠU, POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.4	Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically
A00-B99	A15-A19	A15.5	TUBERCULOSIS LARYNGS, TRACHEAE ET BRONCHI, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA	TUBERCULOZA GRKLJANA, DUŠNIKA I DUŠNICE, POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.5	Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically
A00-B99	A15-A19	A15.6	PLEURITIS TUBERCULOSA, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA	TUBERCULOZNO ZAPALJENJE PLUĆNE MARAMICE, POTVRDJENO BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.6	Tuberculous pleurisy, confirmed bacteriologically and histologically
A00-B99	A15-A19	A15.7	TUBERCULOSIS PULMONIS PRIMARIA, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA	PRIMARNA TUBERKULOZA PLUĆA, POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.7	Primary respiratory tuberculosis, confirmed bacteriologically and histologically
A00-B99	A15-A19	A15.8	TUBERCULOSIS PULMONIS, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA ALIA	DRUGA TUBERKULOZA PLUĆA, POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A15.8	Other respiratory tuberculosis, confirmed bacteriologically and histologically
A00-B99	A15-A19	A15.9	TUBERCULOSIS ORGANORUM RESPIRATORIORUM, PER BACTERIOLOGIAM ET HISTOLOGIAM CONFIRMATA, NON SPECIFICATA	TUBERKULOZA ORGANA ZA DISANJE, POTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI, NEOZNAČENA	1	A15.9	Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically
A00-B99	A15-A19	A16	TUBERCULOSIS ORGANORUM RESPIRATORIORUM, PER BACTERIOLOGIAM ET HISTOLOGIAM NON CONFIRMATA	TUBERKULOZA ORGANA ZA DISANJE, NEPOTVRDJENA BAKTERIOLOŠKI I HISTOLOŠKI	1	A16.-	Respiratory tuberculosis, not confirmed bacteriologically or histologically
A00-B99	A15-A19	A16.0	TUBERCULOSIS PULMONIS, BACTERIOLOGICE ET HISTOLOGICE NEGATIVA	TUBERKULOZA PLUĆA, BAKTERIOLOŠKI I HISTOLOŠKI NEGATIVNA	1	A16.0	Tuberculosis of lung, bacteriologically and histologically negative
A00-B99	A15-A19	A16.1	TUBERCULOSIS PULMONIS, SINE EXPLORATIONE BACTERIOLOGICA ET HISTOLOGICA	TUBERKULOZA PLUĆA, BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.1	Tuberculosis of lung, bacteriological and histological examination not done
A00-B99	A15-A19	A16.2	TUBERCULOSIS PULMONIS, SINE CONFIRMATIONE BACTERIOLOGICA SIVE HISTOLOGICA	TUBERKULOZA PLUĆA, BEZ BAKTERILOŠKE ILI HISTOLOŠKE POTVRDE	1	A16.2	Tuberculosis of lung, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.3	TUBERCULOSIS LYMPHONODORUM INTRATHORACALIUUM	TUBERKULOZA LIMFNIH ČVOROVA U GRUDNOM KOŠU, BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.3	Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.4	TUBERCULOSIS LARINGYS, TRACHEAE ET BRONHI	TUBERKULOZA GRKLJANA, DUŠNIKA I DUŠNICE, BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.4	Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.5	PLEURITIS TUBERCULOSA	TUBERKULOZNO ZAPALJENJE PLUĆNE MARAMICE, BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.5	Tuberculous pleurisy, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.7	TUBERCULOSIS PULMONIS PRIMARIA	PRIMARNA TUBERKULOZA PLUĆA,BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.7	Primary respiratory tuberculosis without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.8	TUBERCULOSIS ORGANORUM RESPIRATORUM ALIA	DRUGA TUBERKULOZA ORGANA ZA DISANJE, BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA	1	A16.8	Other respiratory tuberculosis, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A16.9	TUBERCULOSIS ORGANORUM RESPIRATORUM, NON SPECIFICATA	TUBERKULOZA ORGANA ZA DISANJE BEZ BAKTERIOLOŠKOG I HISTOLOŠKOG ISPITIVANJA, NEOZNAČENA 	1	A16.9	Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation
A00-B99	A15-A19	A17+	TUBERCULOSIS SYSTEMATIS NERVOSI	TUBERKOLOZA NERVNOG SISTEMA	1	A17.-	Tuberculosis of nervous system
A00-B99	A15-A19	A17.0+	MENINGITIS TUBERCULOSA (G07*)	TUBERKULOZNO ZAPALJENJE MOŽDANICA	1	A17.0	Tuberculous meningitis
A00-B99	A15-A19	A17.1+	TUBERCULOMA MENINGIUM (G07*)	TUBERKULOZNI CVORIC MOŽDANICA	1	A17.1	Meningeal tuberculoma
A00-B99	A15-A19	A17.8+	TUBERCULOSIS SYSTEMATIS NERVOSI ALIA	DRUGA TUBERKULOZA NERVNOG SISTEMA	1	A17.8	Other tuberculosis of nervous system
A00-B99	A15-A19	A17.9+	TUBERCULOSIS SYSTEMATIS NERVOSI, NON SPECIFICATA	TUBERKULOZA NERVNOG SISTEMA, NEOZNAČENA	1	A17.9	Tuberculosis of nervous system, unspecified
A00-B99	A15-A19	A18	TUBERCULOSIS ORGANORUM ALIORUM	TUBERKULOZA DRUGIH ORGANA	1	A18.-	Tuberculosis of other organs
A00-B99	A15-A19	A18.0+	TUBERCULOSIS OSSIUM ET ARTICULORUM	TUBERKULOZA KOSTIJU I ZGLOBOVA	1	A18.0	Tuberculosis of bones and joints
A00-B99	A15-A19	A18.1+	TUBERCULOSIS SYSTEMATIS GENITOURINARII	TUBERKULOZA POLNO-MOKRACNOG SISTEMA	1	A18.1	Tuberculosis of genitourinary system
A00-B99	A15-A19	A18.2	TUBERCULOSIS LYMPHGLANDULARUM PERIPHERICA	TUBERKULOZA PERIFERNIH LIMFNIH ČVOROVA	1	A18.2	Tuberculous peripheral lymphadenopathy
A00-B99	A15-A19	A18.3	TUBERCULOSIS GLANDULARUM INTESTINALIUM, PERITONAEALIUM ET MESENTERICARUM	TUBERKULOZA ŽLIJEZDA CRIJEVA, TRBUSNE MARAMICE I MEZENTRIČNIH ŽLIJEZDI	1	A18.3	Tuberculosis of intestines, peritoneum and mesenteric glands
A00-B99	A15-A19	A18.4	TUBERCULOSIS CUTIS ET SUBCUTIS	TUBERKULOZA KOŽE I POTKOŽNOG TKIVA	1	A18.4	Tuberculosis of skin and subcutaneous tissue
A00-B99	A15-A19	A18.5+	TUBERCULOSIS OCULI	TUBERKULOZA OKA	1	A18.5	Tuberculosis of eye
A00-B99	A15-A19	A18.6+	TUBERCULOSIS AURIS	TUBERKULOZA UVA	1	A18.6	Tuberculosis of ear
A00-B99	A15-A19	A18.7+	TUBERCULOSIS GLANDULARUM SUPARENALIUM	TUBERKULOZA NADBUBREZNIH ŽLIJEZDA	1	A18.7	Tuberculosis of adrenal glands
A00-B99	A15-A19	A18.8+	TUBERCULOSIS ORGANORUM AILORUM, SPECIFICATORUM	TUBERKULOZA DRUGIH OZNAČENIH ORGANA	1	A18.8	Tuberculosis of other specified organs
A00-B99	A15-A19	A19	TUBERCULOSIS MILIARIS	RASIJANA TUBERKULOZA	1	A19.-	Miliary tuberculosis
A00-B99	A15-A19	A19.0	TUBERCULOSIS MILIARIS ACUTA, LOCI SPECIFICATI	AKUTNA RASIJANA TUBERKULOZA, OZNAČENE LOKALIZACIJE	1	A19.0	Acute miliary tuberculosis of a single specified site
A00-B99	A15-A19	A19.1	TUBERCULOSIS MILIARIS ACUTA, LOCORUM MULTIPLICIUM	AKUTNA RASIJANA TUBERKULOZA, VIŠESTRUKIH LOKALIZACIJA	1	A19.1	Acute miliary tuberculosis of multiple sites
A00-B99	A15-A19	A19.2	TUBERCULOSIS MILIARIS ACUTA, NON SPECIFICATA	AKUTNA RASIJANA TUBERKULOZA, NEOZNAČENA	1	A19.2	Acute miliary tuberculosis, unspecified
A00-B99	A15-A19	A19.8	TUBERCULOSIS MILIARIS ALIA	DRUGA RASIJANA TUBERKULOZA	1	A19.8	Other miliary tuberculosis
A00-B99	A15-A19	A19.9	TUBERCULOSIS MILIARIS, NON SPECIFICATA	RASIJANA TUBERKULOZA, NEOZNAČENA	1	A19.9	Miliary tuberculosis, unspecified
A00-B99	A20-A28	A20	PESTIS	KUGA	1	A20.-	Plague
A00-B99	A20-A28	A20.0	PESTIS BUBONICA	KUGA ČVOROVA PREPONA	1	A20.0	Bubonic plague
A00-B99	A20-A28	A20.1	PESTIS CELLULOCUTANEA	KUGA KOŽE	1	A20.1	Cellulocutaneous plague
A00-B99	A20-A28	A20.2	PESTIS PNEUMONICA	KUGA PLUĆA	1	A20.2	Pneumonic plague
A00-B99	A20-A28	A20.3	MENINGITIS PESTICA	ZAPALJENJE MOŽDANICA UZROKOVANO KUGOM	1	A20.3	Plague meningitis
A00-B99	A20-A28	A20.7	PESTIS SEPTICA	SEPSA UZROKOVANA KUGOM	1	A20.7	Septicaemic plague
A00-B99	A20-A28	A20.8	PESTIS, FORMAE ALIAE	DRUGI OBLICI KUGE	1	A20.8	Other forms of plague
A00-B99	A20-A28	A20.9	PESTIS, NON SPECIFICATA	KUGA, NEOZNAČENA	1	A20.9	Plague, unspecified
A00-B99	A20-A28	A21	TULARAEMIA	TULAREMIJA - KUGA GLODARA	1	A21.-	Tularaemia
A00-B99	A20-A28	A21.0	TULARAEMIA ULCEROGLANDULARIS	ULCEROZNA TULAREMIJA ŽLIJEZDA	1	A21.0	Ulceroglandular tularaemia
A00-B99	A20-A28	A21.1	TULARAEMIA OCULOGLANDULARIS	TULAREMIJA ŽLIJEZDE OKA	1	A21.1	Oculoglandular tularaemia
A00-B99	A20-A28	A21.2	TULARAEMIA PULMONALIS	TULAREMIJA PLUĆA	1	A21.2	Pulmonary tularaemia
A00-B99	A20-A28	A21.3	TULARAEMIA GASTROINTESTINALIS	TULAREMIJA ŽELUCA I CRIJEVA	1	A21.3	Gastrointestinal tularaemia
A00-B99	A20-A28	A21.7	TULARAEMIA GENERALISATA	GENERALIZOVANA TULAREMIJA	1	A21.7	Generalized tularaemia
A00-B99	A20-A28	A21.8	TULARAEMIA, FORMAE ALIAE	DRUGI OBLICI TULAREMIJE	1	A21.8	Other forms of tularaemia
A00-B99	A20-A28	A21.9	TULARAEMIA, NON SPECIFICATA	TULAREMIJA, NEOZNAČENA	1	A21.9	Tularaemia, unspecified
A00-B99	A20-A28	A22	ANTHRAX	ANTRAKS - CRNI PRIST	1	A22.-	Anthrax
A00-B99	A20-A28	A22.0	ANTHRAX CUTANEUS	ANTRAKS KOŽE	1	A22.0	Cutaneous anthrax
A00-B99	A20-A28	A22.1	ANTHRAX PULMONALIS	ANTRAKS PLUĆA	1	A22.1	Pulmonary anthrax
A00-B99	A20-A28	A22.2	ANTHRAX GASTROINTESTINALIS	ANTRAKS ŽELUCA I CRIJEVA	1	A22.2	Gastrointestinal anthrax
A00-B99	A20-A28	A22.7	ANTHRAX SEPTICUS	SEPSA - TROVANJE UZROKOVANO ANTRAKSOM	1	A22.7	Anthrax sepsis
A00-B99	A20-A28	A22.8	ANTHRAX, FORMAE ALIAE	DRUGI OBLICI ANTRAKSA	1	A22.8	Other forms of anthrax
A00-B99	A20-A28	A22.9	ANTHRAX, NON SPECIFICATUS	ANTRAKS, NEOZNAČEN	1	A22.9	Anthrax, unspecified
A00-B99	A20-A28	A23	BRUCELLOSIS	BRUCELOZA 	1	A23.-	Brucellosis
A00-B99	A20-A28	A23.0	BRUCELLOSIS PER BRUCELLAM MELITENSEM	BRUCELOZA, UZROČNIK BRUCELLA MELITENSIS	1	A23.0	Brucellosis due to Brucella melitensis
